"Modul";"Tabelle";"Feldinhalt";"Feld";"Typ";"Art des Feldes";"Formel";"Tab";"Kategorie";"Status"
"objekte";"ObjTech";"interne Objnr";"objektnr_intern";"Int(10)";"";"";"grunddaten";"Technische-Angaben";"Inaktiv"
"objekte";"ObjTech";"ImmoNr";"objektnr_extern";"Varchar(20)";"";"";"grunddaten";"Technische-Angaben";"Aktiv"
"objekte";"ObjKategorie";"Nutzungsart";"nutzungsart";"Varchar(20)";"";"";"grunddaten";"Kategorie";"Aktiv"
"objekte";"ObjKategorie";"Vermarktungsart";"vermarktungsart";"Varchar(20)";"";"";"grunddaten";"Kategorie";"Aktiv"
"objekte";"ObjKategorie";"Objektart";"objektart";"Varchar(80)";"";"";"grunddaten";"Kategorie";"Aktiv"
"objekte";"ObjKategorie";"Objekttyp";"objekttyp";"Varchar(80)";"";"";"grunddaten";"Kategorie";"Aktiv"
"objekte";"ObjGeo";"PLZ";"plz";"Varchar(20)";"";"";"grunddaten";"Geografische-Angaben";"Aktiv"
"objekte";"ObjGeo";"Ort";"ort";"Varchar(50)";"";"";"grunddaten";"Geografische-Angaben";"Aktiv"
"objekte";"ObjGeo";"Breitengrad";"breitengrad";"Float(13,5)";"";"";"grunddaten";"Geografische-Angaben";"Inaktiv"
"objekte";"ObjGeo";"Längengrad";"laengengrad";"Float(13,5)";"";"";"grunddaten";"Geografische-Angaben";"Inaktiv"
"objekte";"ObjGeo";"Straße";"strasse";"Varchar(80)";"";"";"grunddaten";"Geografische-Angaben";"Aktiv"
"objekte";"ObjGeo";"Hausnummer";"hausnummer";"Varchar(20)";"";"";"grunddaten";"Geografische-Angaben";"Aktiv"
"objekte";"ObjGeo";"Bundesland";"bundesland";"Varchar(80)";"";"";"grunddaten";"Geografische-Angaben";"Inaktiv"
"objekte";"ObjGeo";"Land";"land";"Char(3)";"";"";"grunddaten";"Geografische-Angaben";"Aktiv"
"objekte";"ObjGeo";"Gemeindecode";"gemeindecode";"Varchar(20)";"";"";"grunddaten";"Geografische-Angaben";"Inaktiv"
"objekte";"ObjGeo";"Flur";"flur";"Varchar(30)";"";"";"grunddaten";"Geografische-Angaben";"Aktiv"
"objekte";"ObjGeo";"Flurstück";"flurstueck";"Varchar(250)";"";"";"grunddaten";"Geografische-Angaben";"Aktiv"
"objekte";"ObjGeo";"Gemarkung";"gemarkung";"Varchar(30)";"";"";"grunddaten";"Geografische-Angaben";"Aktiv"
"objekte";"ObjGeo";"Etage";"etage";"Int(11)";"";"";"grunddaten";"Geografische-Angaben";"Aktiv"
"objekte";"ObjGeo";"Lage im Bau";"lage_im_bau";"Varchar(20)";"";"";"grunddaten";"Geografische-Angaben";"Inaktiv"
"objekte";"ObjGeo";"Wohnungsnr.";"wohnungsnr";"Varchar(20)";"";"";"grunddaten";"Geografische-Angaben";"Aktiv"
"objekte";"ObjGeo";"Lage Gebiet";"lage_gebiet";"Varchar(20)";"";"";"grunddaten";"Geografische-Angaben";"Inaktiv"
"objekte";"ObjGeo";"Regionaler Zusatz";"regionaler_zusatz";"text";"";"";"grunddaten";"Geografische-Angaben";"Inaktiv"
"objekte";"ObjFlaeche";"Wohnfläche";"wohnflaeche";"Float(13,2)";"DATA_TYPE_AREA";"";"preise_flaechen";"Flächen";"Aktiv"
"objekte";"ObjFlaeche";"Nutzfläche";"nutzflaeche";"Float(13,2)";"DATA_TYPE_AREA";"";"preise_flaechen";"Flächen";"Aktiv"
"objekte";"ObjFlaeche";"Gesamtfläche";"gesamtflaeche";"Float(13,2)";"DATA_TYPE_AREA";"";"preise_flaechen";"Flächen";"Aktiv"
"objekte";"ObjFlaeche";"Ladenfläche";"ladenflaeche";"Float(13,2)";"DATA_TYPE_AREA";"";"preise_flaechen";"Flächen";"Aktiv"
"objekte";"ObjFlaeche";"Lagerfläche";"lagerflaeche";"Float(13,2)";"DATA_TYPE_AREA";"";"preise_flaechen";"Flächen";"Aktiv"
"objekte";"ObjFlaeche";"Verkaufsfläche";"verkaufsflaeche";"Float(13,2)";"DATA_TYPE_AREA";"";"preise_flaechen";"Flächen";"Aktiv"
"objekte";"ObjFlaeche";"Freifläche";"freiflaeche";"Float(13,2)";"DATA_TYPE_AREA";"";"preise_flaechen";"Flächen";"Inaktiv"
"objekte";"ObjFlaeche";"Bürofläche";"bueroflaeche";"Float(13,2)";"DATA_TYPE_AREA";"";"preise_flaechen";"Flächen";"Aktiv"
